x,y,heading,speed,accel,angvel,time
620561.979011,3348033.2138,-0.20316634033,-0.457675450549,-0.451364223539,-0.000156680865125,26407.1
620561.93605,3348033.22807,-0.200728347117,-0.516605270212,-0.49207858585,0.00110668462977,26407.2
620561.956878,3348033.22576,-0.209471200713,-0.488778960262,-0.483837483013,0.000587612728636,26407.3
620561.906816,3348033.23937,-0.208207475403,-0.559883353789,-0.539082463935,-0.00234331155731,26407.4
620561.936567,3348033.23696,-0.212323506752,-0.527351340615,-0.530024197113,0.00126549081343,26407.5
620561.893874,3348033.24802,-0.211882807273,-0.546575037221,-0.44505487653,-0.000644328134462,26407.6
620561.916733,3348033.24796,-0.222578280968,-0.502751651949,-0.414189473681,-0.00114755737014,26407.7
620561.868155,3348033.25324,-0.227820445751,-0.529714100546,-0.376163103985,-0.000164872167873,26407.8
620561.890445,3348033.25488,-0.236388209059,-0.487829151571,-0.360926843244,-0.000272797273571,26407.9
620561.849016,3348033.26821,-0.234782555179,-0.5059461394,-0.312910275973,-0.000885907588783,26408.0
620561.886267,3348033.2733,-0.234392187623,-0.430534960508,-0.245946593777,-0.0010704521622,26408.1
620561.849784,3348033.28914,-0.230375829319,-0.454347433691,-0.244770796303,-0.000330141845444,26408.2
620561.896835,3348033.28538,-0.231303733007,-0.383421590206,-0.23410160373,-0.00290346740593,26408.3
620561.866097,3348033.30917,-0.221582553411,-0.40632687074,-0.23553968236,-0.000169112774971,26408.4
620561.9283,3348033.32606,-0.21165596937,-0.345724488347,-0.269200338757,0.00125016653983,26408.5
620561.909684,3348033.34834,-0.204129023351,-0.333829300353,-0.176255769123,0.00142132378651,26408.6
620561.995705,3348033.35282,-0.192844702596,-0.192083245711,-0.0280621923758,7.85194073472e-05,26408.7
620561.992446,3348033.36934,-0.187317073116,-0.144316410977,0.0988609951966,0.000720970995925,26408.8
620562.077787,3348033.35725,-0.175218032598,-0.0061495560563,0.206972707272,-0.00147558816729,26408.9
620562.085443,3348033.36019,-0.173785352217,0.0429915864989,0.2825018212,-0.00104801983506,26409.0
620562.179289,3348033.32777,-0.17901064483,0.166957967103,0.306585385941,-0.000879229046478,26409.1
620562.198264,3348033.32055,-0.185158345322,0.216356345213,0.360333756783,-0.000532280757798,26409.2
620562.306397,3348033.26452,-0.190397522665,0.337595212251,0.34566143308,0.00101151102266,26409.3
620562.338564,3348033.25835,-0.189471241706,0.372161355558,0.34566143308,-0.00341840737956,26409.4
620562.46507,3348033.1746,-0.204547491312,0.466601603879,0.250723902607,0.000155060183533,26409.5
620562.485857,3348033.1316,-0.230194772174,0.444718813127,0.143179263243,0.00130213229823,26409.6
620562.599754,3348032.99184,-0.273590192174,0.523553397646,0.0487923354868,-0.000691552645558,26409.7
620562.627205,3348032.95321,-0.292287271474,0.484684646624,-0.0576272863942,2.56815082696e-05,26409.8
620562.771516,3348032.82839,-0.314450828403,0.591578374016,-0.0644270605904,-0.00221607899219,26409.9
620562.81855,3348032.78316,-0.329335070138,0.612059173722,0.00547837568226,-0.00302065127259,26410.0
620562.966196,3348032.64591,-0.359150776897,0.734398949525,0.0486074439584,-0.00273773081131,26410.1
620563.033494,3348032.62034,-0.360292506734,0.763735159324,0.116378180708,-0.00410703628116,26410.2
620563.206431,3348032.50258,-0.373875328191,0.887911097128,0.155836653823,-0.0036487127043,26410.3
620563.283915,3348032.4734,-0.374332135241,0.90349476251,0.155836653823,-0.00776493435604,26410.4
620563.484112,3348032.38784,-0.369668009368,1.0270910862,0.208490981399,-0.00929883863065,26410.5
620563.583742,3348032.35992,-0.365815395278,1.07108819682,0.262223404722,-0.00965758463975,26410.6
620563.815085,3348032.2879,-0.353761172839,1.21231008952,0.334139729621,-0.00807800829747,26410.7
620563.933323,3348032.27155,-0.341200437874,1.24759101895,0.338604289248,-0.0101884161723,26410.8
620564.161582,3348032.15921,-0.339604128985,1.39961245613,0.436014680789,-0.0097423115493,26410.9
620564.298805,3348032.12613,-0.33393148365,1.47010681908,0.504914653885,-0.0129800980141,26411.0
620564.51303,3348031.98645,-0.348938655124,1.60767854941,0.564161621601,-0.0215867047327,26411.1
620564.659296,3348031.93578,-0.352797007462,1.67807142577,0.605065682001,-0.0329408835209,26411.2
620564.824435,3348031.72367,-0.395286341551,1.77039170431,0.575177853394,-0.0478773091557,26411.3
620564.988081,3348031.65853,-0.40504906763,1.84162080405,0.613401188651,-0.0734778020367,26411.4
620565.131844,3348031.40748,-0.447165722746,1.93299639843,0.616215953858,-0.0683023438702,26411.5
620565.269206,3348031.26423,-0.498467070952,2.02222804413,0.688851370188,-0.127217532176,26411.6
620565.302344,3348030.86639,-0.61013619929,2.14786635911,0.811776756161,-0.193355806098,26411.7
620565.429228,3348030.67222,-0.679433311598,2.26392784457,0.906531760506,-0.264465428241,26411.8
620565.4019,3348030.30579,-0.78040631425,2.34521170774,0.97821736146,-0.307449444626,26411.9
620565.554734,3348030.11635,-0.827867832478,2.506277054,1.14519046043,-0.341351046531,26412.0
620565.547641,3348029.76239,-0.90638581008,2.65773405971,1.33810014944,-0.366572080217,26412.1
620565.721093,3348029.54862,-0.945111474629,2.85061397278,1.49162279628,-0.400794170592,26412.2
620565.705311,3348029.19178,-1.02145013522,2.99724999123,1.62892010355,-0.410014459032,26412.3
620565.8651,3348028.93028,-1.06379356317,3.2084138984,1.76165439716,-0.424479483862,26412.4
620565.780032,3348028.55697,-1.15452258634,3.30796379047,1.77327430107,-0.445883717542,26412.5
620565.908745,3348028.25612,-1.19646111654,3.48529122058,1.77327430107,-0.419941898276,26412.6
